Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.16463897529384E-05,0.00206445317295911,0.0867575686305747,0,0,0,1.13447955048955,0.00382536743502927,-5.21479626591934E-10,2.64488699834982E-11,0.00238349995413207,-2.23095995112024E-08,0.00584445390155975,0,0,0,0,0,0,package://Robot_URDF/meshes/base_link.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Robot_URDF/meshes/base_link.STL,,BASE-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.00011645498015439,0.0838267871265151,0.0797228341638099,0,0,0,3.4548533335894,0.0287244399044522,1.07716900681429E-05,1.36471809579483E-05,0.0104194299620773,-0.00252304337513048,0.0275587652557441,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_1.STL,,Link_1-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0,0,0.279500000004745,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_2,1.3146531566699E-06,-0.00182381838730872,0.335988235790637,0,0,0,1.77408202340128,0.085386382093851,-5.25912993259688E-09,-4.99637761461639E-07,0.0818444958818262,-0.00123956240616671,0.00760750680406488,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_2.STL,,Link_2-1,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,2.12624101100234E-05,0,0.0889999999999973,0,0.311814355253914,0,Link_1,0,1,0,,,,,,,,,,,,
Link_3,-0.122631077248486,-0.00682212616541067,0.0430002736628845,0,0,0,2.67779599552772,0.0164088008679418,0.00221872226874433,0.0239959762920904,0.0817978883143763,-0.000778372381264585,0.0760693983250324,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_3.STL,,Link_3-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,1.06288581031011E-05,0,0.6288,0,-0.311814355253914,0,Link_2,0,1,0,,,,,,,,,,,,
Link_4,-0.0359520473492404,0.0573887943262518,0.00814393664767388,0,0,0,0.723954519230051,0.00246147379577402,0.000180045212397569,6.62302922165107E-05,0.00239429786206059,-0.000225090699171038,0.00231550922089015,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_4.STL,,Link_4-1,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,-0.417330825710809,-5.00000000068779E-05,0.14558328650592,0,0,0,Link_3,0.329377735215235,0,0.944198235300449,,,,,,,,,,,,
Link_5,-0.0624097317939219,0.0890815688302158,-0.0463349776774049,0,0,0,0.557275757190974,0.00147370073890005,-0.00051087519911536,5.93024881568717E-05,0.00215641492566466,0.000102111247381863,0.00188605882239783,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_5.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_5.STL,,Link_5-1,Origin_Joint_5,Axis_Joint_5,Joint_5,continuous,0.00329377735215031,0,0.0094419823530052,0,0,0,Link_4,0.832278673184367,0.472247426691336,-0.290335285740264,,,,,,,,,,,,
Link_6,-0.0179860636923776,-0.00224921880435858,-0.0552175564098192,0,0,0,0.0911378688516544,8.75871370592045E-05,9.04869890388178E-07,2.22142479510039E-05,8.04644274197435E-05,2.77796771270418E-06,0.00014854943256083,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_6.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Robot_URDF/meshes/Link_6.STL,,Link_6-1,Origin_Joint_6,Axis_Joint_6,Joint_6,continuous,-0.0635874216167502,0.0878119373952039,-0.0413069399783987,0,0,0,Link_5,-0.309482526144274,-0.0387018487941227,-0.950117220616107,,,,,,,,,,,,
